Color Name,HEX Code,Description,Emotion,Personality,Mood,Symbolism,Use Case,Keywords,combined_text
Scarlet Red,#AD4233,"A deep, rich shade of red with a hint of orange.","Passionate, Powerful","Determined, Bold","Intense, Dramatic","Represents strength, courage, and love in many cultures.","Ideal for creating attention-grabbing headlines, logos, and call-to-action buttons.","Passion, Energy, Boldness, Courage, Love, Strength","A deep, rich shade of red with a hint of orange. Passionate, Powerful Determined, Bold Intense, Dramatic Represents strength, courage, and love in many cultures. Ideal for creating attention-grabbing headlines, logos, and call-to-action buttons. Passion, Energy, Boldness, Courage, Love, Strength"
Indigo,#406790,"Deep, mystical, and enchanting indigo.","Introspective, thoughtful","Wisdom seeker, intuitive, deep thinker","Serene, contemplative, mysterious","Represents wisdom, the divine, spirituality, intuition","Ideal for meditation rooms, deep thinking spaces, and spiritual or mystical designs.","Mystic, spiritual, thoughtful, introspective, wisdom, enchanting, deep blue.","Deep, mystical, and enchanting indigo. Introspective, thoughtful Wisdom seeker, intuitive, deep thinker Serene, contemplative, mysterious Represents wisdom, the divine, spirituality, intuition Ideal for meditation rooms, deep thinking spaces, and spiritual or mystical designs. Mystic, spiritual, thoughtful, introspective, wisdom, enchanting, deep blue."
Verdigris Green,#609D54,"A refreshing blend of yellow and blue, creating a vibrant and inviting green hue.",Tranquility,"Calm, natural, and harmonious",Serene and soothing,"Growth, balance, and harmony in nature",Ideal for creating peaceful spaces such as bedrooms or meditation rooms.,"Fresh, verdant, calming, tranquil, balanced, natural, harmonious, serene.","A refreshing blend of yellow and blue, creating a vibrant and inviting green hue. Tranquility Calm, natural, and harmonious Serene and soothing Growth, balance, and harmony in nature Ideal for creating peaceful spaces such as bedrooms or meditation rooms. Fresh, verdant, calming, tranquil, balanced, natural, harmonious, serene."
Deep Purple,#492EA5,A deep shade of purple with a hint of red.,"Mysterious, Regal","Majestic, Powerful","Elegant, Intense","It may symbolize luxury, spirituality, creativity, and wisdom.","Ideal for formal events, luxury branding, and as a main color in design projects that need to convey elegance or mystery.","Regal, Mysterious, Luxury, Formal, Elegant, Intense, Creative, Spiritual, Purple, Deep, Vibrant.","A deep shade of purple with a hint of red. Mysterious, Regal Majestic, Powerful Elegant, Intense It may symbolize luxury, spirituality, creativity, and wisdom. Ideal for formal events, luxury branding, and as a main color in design projects that need to convey elegance or mystery. Regal, Mysterious, Luxury, Formal, Elegant, Intense, Creative, Spiritual, Purple, Deep, Vibrant."
#9A70C2 (Hexadecimal Lilac),#9A70C2,"A medium-dark, cool-toned purple.","Serene, Calm, Introspective","Mysterious, Thoughtful, Intuitive","Dreamy, Elegant, Sophisticated","It may symbolize spirituality, creativity, and magic.","Ideal for soft, romantic designs, luxury branding, or tech-inspired aesthetics.","Purple, Lilac, Cool, Medium-dark, Dreamy, Elegant, Mysterious, Luxury, Tech","A medium-dark, cool-toned purple. Serene, Calm, Introspective Mysterious, Thoughtful, Intuitive Dreamy, Elegant, Sophisticated It may symbolize spirituality, creativity, and magic. Ideal for soft, romantic designs, luxury branding, or tech-inspired aesthetics. Purple, Lilac, Cool, Medium-dark, Dreamy, Elegant, Mysterious, Luxury, Tech"
Green (#52F023),#52F023,A lively and energetic shade of green.,"Excitement, Enthusiasm, Freshness","Energetic, Vibrant, Optimistic","Invigorating, Cheerful, Youthful","Growth, Renewal, Prosperity","Ideal for branding that seeks to convey energy, innovation, or nature-related themes.","Bright, Vibrant, Green, Fresh, Energy, Excitement","A lively and energetic shade of green. Excitement, Enthusiasm, Freshness Energetic, Vibrant, Optimistic Invigorating, Cheerful, Youthful Growth, Renewal, Prosperity Ideal for branding that seeks to convey energy, innovation, or nature-related themes. Bright, Vibrant, Green, Fresh, Energy, Excitement"
Eclectic Rose,#EC7EC8,A soft shade of rose pink.,"Whimsical, Playful","Dreamy, Delicate","Sweet, Feminine","Love, Passion, Sensitivity",Ideal for adding a touch of romance to designs or softening a harsh color palette.,"Pink, Pastel, Soft, Whimsical, Dreamy, Romantic, Feminine, Sweet, Love, Passion, Sensitivity.","A soft shade of rose pink. Whimsical, Playful Dreamy, Delicate Sweet, Feminine Love, Passion, Sensitivity Ideal for adding a touch of romance to designs or softening a harsh color palette. Pink, Pastel, Soft, Whimsical, Dreamy, Romantic, Feminine, Sweet, Love, Passion, Sensitivity."
Indigo Purple,#4D116C,A rich and deep shade of indigo purple.,"Mysterious, Intense","Secretive, Enigmatic","Dramatic, Alluring","It may symbolize intuition, wisdom, or spirituality.","Ideal for sophisticated designs, luxury branding, and night-time themes.","Mysterious, Deep, Rich, Intense, Nighttime, Luxury, Spiritual.","A rich and deep shade of indigo purple. Mysterious, Intense Secretive, Enigmatic Dramatic, Alluring It may symbolize intuition, wisdom, or spirituality. Ideal for sophisticated designs, luxury branding, and night-time themes. Mysterious, Deep, Rich, Intense, Nighttime, Luxury, Spiritual."
Wisteria Purple,#411EDB,"A rich and captivating shade of purple, reminiscent of the beautiful wisteria flowers.","Graceful, sophisticated","Regal, mysterious","Elegant, enchanting","Represents wisdom, spirituality, and creativity. In some cultures, it symbolizes faithfulness and loyalty.","Ideal for luxury branding, high-end fashion, or artistic projects seeking a refined and alluring aesthetic.","Royal, enchanting, sophisticated, luxury, creative, mysterious.","A rich and captivating shade of purple, reminiscent of the beautiful wisteria flowers. Graceful, sophisticated Regal, mysterious Elegant, enchanting Represents wisdom, spirituality, and creativity. In some cultures, it symbolizes faithfulness and loyalty. Ideal for luxury branding, high-end fashion, or artistic projects seeking a refined and alluring aesthetic. Royal, enchanting, sophisticated, luxury, creative, mysterious."
Saffron,#9E703A,"A rich, earthy shade of orange-brown.","Warmth, comfort, coziness","Warm, friendly, inviting, reliable","Comforting, homely, rustic","Harvest, abundance, stability, security","Ideal for creating warm and welcoming interiors, fall and winter color palettes.","Earthy, Cozy, Warm, Autumn, Harvest, Terracotta, Brown, Orange.","A rich, earthy shade of orange-brown. Warmth, comfort, coziness Warm, friendly, inviting, reliable Comforting, homely, rustic Harvest, abundance, stability, security Ideal for creating warm and welcoming interiors, fall and winter color palettes. Earthy, Cozy, Warm, Autumn, Harvest, Terracotta, Brown, Orange."
Medium Purple Cyan,#CFB8DA,"A harmonious blend of pink, red, and blue.","Tranquil, Serene","Graceful, Sophisticated","Dreamy, Elegant","Reflects creativity, spirituality, and intuition.","Perfect for soft, romantic designs or as a calming accent in minimalist interiors.","Pastel, Vibrant, Purple, Cyan, Tranquil, Dreamy, Elegant, Creative, Spiritual, Intuitive.","A harmonious blend of pink, red, and blue. Tranquil, Serene Graceful, Sophisticated Dreamy, Elegant Reflects creativity, spirituality, and intuition. Perfect for soft, romantic designs or as a calming accent in minimalist interiors. Pastel, Vibrant, Purple, Cyan, Tranquil, Dreamy, Elegant, Creative, Spiritual, Intuitive."
Maroon 530320,#530320,Deep and rich red-brown shade,"Warmth, Richness, Elegance","Strong, Mature, Luxurious","Cozy, Rustic, Inviting","Represents power, sophistication, and stability","Ideal for creating a sophisticated, warm, and rich atmosphere in interiors or branding","Rich, Deep, Burgundy, Red-Brown, Elegant, Luxurious, Cozy, Rustic, Warmth, Power, Stability.","Deep and rich red-brown shade Warmth, Richness, Elegance Strong, Mature, Luxurious Cozy, Rustic, Inviting Represents power, sophistication, and stability Ideal for creating a sophisticated, warm, and rich atmosphere in interiors or branding Rich, Deep, Burgundy, Red-Brown, Elegant, Luxurious, Cozy, Rustic, Warmth, Power, Stability."
Burnt Sienna,#C55D31,"A rich, fiery shade of brown.","Warmth, Passion, Vitality","Determined, Bold, Energetic","Adventurous, Spirited","Endurance, Strength, Harvest","Ideal for creating a warm and inviting atmosphere in spaces such as dining rooms, living rooms, or even clothing.","Warm, Vibrant, Rich, Autumnal, Earthy, Passionate, Spirited","A rich, fiery shade of brown. Warmth, Passion, Vitality Determined, Bold, Energetic Adventurous, Spirited Endurance, Strength, Harvest Ideal for creating a warm and inviting atmosphere in spaces such as dining rooms, living rooms, or even clothing. Warm, Vibrant, Rich, Autumnal, Earthy, Passionate, Spirited"
Sage Green,#8EB934,A refreshing and soothing shade of green.,"Calm, peaceful, serene","Patient, wise, balanced","Tranquil, relaxing, nature-inspired","Growth, harmony, stability","Ideal for creating a calm and refreshing environment, such as in a living room or bedroom.","Nature, tranquility, growth, balance, wisdom","A refreshing and soothing shade of green. Calm, peaceful, serene Patient, wise, balanced Tranquil, relaxing, nature-inspired Growth, harmony, stability Ideal for creating a calm and refreshing environment, such as in a living room or bedroom. Nature, tranquility, growth, balance, wisdom"
Purple-Rose,#D664D4,A rich blend of red and blue.,"Passionate, Dramatic","Mysterious, Enigmatic","Romantic, Elegant","Represents spirituality, creativity, love, and mystery.","Ideal for romantic designs, dramatic backgrounds, or elegant events.","Passionate, Dramatic, Mysterious, Creative, Love, Spirituality, Romantic, Elegant.","A rich blend of red and blue. Passionate, Dramatic Mysterious, Enigmatic Romantic, Elegant Represents spirituality, creativity, love, and mystery. Ideal for romantic designs, dramatic backgrounds, or elegant events. Passionate, Dramatic, Mysterious, Creative, Love, Spirituality, Romantic, Elegant."
Forest Green,#33860C,A vibrant and invigorating shade of green.,"Calm, refreshing","Reliable, grounded, natural","Serene, peaceful, earthy","Growth, nature, harmony, stability","Ideal for outdoor themes, eco-friendly products, or sustainable initiatives.","Green, nature, environment, calm, serene, fresh, verdant, earthy, grounded.","A vibrant and invigorating shade of green. Calm, refreshing Reliable, grounded, natural Serene, peaceful, earthy Growth, nature, harmony, stability Ideal for outdoor themes, eco-friendly products, or sustainable initiatives. Green, nature, environment, calm, serene, fresh, verdant, earthy, grounded."
#473FED (Deep Blueish Purple),#473FED,A captivating deep blueish purple hue.,"Majestic, Powerful","Mysterious, alluring, trustworthy","Elegant, sophisticated, refined","Represents royalty, spirituality, and creativity.","Ideal for luxury branding, high-end technology, and spiritual or artistic contexts.","Luxury, Spiritual, Creative, Majestic, Deep, Elegant","A captivating deep blueish purple hue. Majestic, Powerful Mysterious, alluring, trustworthy Elegant, sophisticated, refined Represents royalty, spirituality, and creativity. Ideal for luxury branding, high-end technology, and spiritual or artistic contexts. Luxury, Spiritual, Creative, Majestic, Deep, Elegant"
Mars Brown,#69210E,"A rich, deep reddish-brown reminiscent of the color of soil in arid landscapes.","Vibrant, Strong, Warmth","Tenacious, Sturdy, Resilient","Grounded, Robust, Inviting","Represents strength, resilience, and the earthy aspects of nature. Can also symbolize stability and reliability.","Ideal for creating a warm, inviting atmosphere in interiors, or as an accent color for logos and branding that want to convey a sense of strength and reliability.","Brown, Warm, Earthy, Rich, Strong, Vibrant, Rustic, Reliable, Stable, Nature.","A rich, deep reddish-brown reminiscent of the color of soil in arid landscapes. Vibrant, Strong, Warmth Tenacious, Sturdy, Resilient Grounded, Robust, Inviting Represents strength, resilience, and the earthy aspects of nature. Can also symbolize stability and reliability. Ideal for creating a warm, inviting atmosphere in interiors, or as an accent color for logos and branding that want to convey a sense of strength and reliability. Brown, Warm, Earthy, Rich, Strong, Vibrant, Rustic, Reliable, Stable, Nature."
Emerald Green (Pantone 376U),#20BA03,"A vibrant, lively shade of green.","Excitement, Renewal, Energy","Vital, Radiant, Spirited","Fresh, Bold, Invigorating","Growth, Harmony, Abundance","Ideal for branding in industries such as technology, health, and environment.","Green, Bright, Lively, Vibrant, Spirited, Modern, Fresh, Bold, Technology, Health, Environment.","A vibrant, lively shade of green. Excitement, Renewal, Energy Vital, Radiant, Spirited Fresh, Bold, Invigorating Growth, Harmony, Abundance Ideal for branding in industries such as technology, health, and environment. Green, Bright, Lively, Vibrant, Spirited, Modern, Fresh, Bold, Technology, Health, Environment."
Light Cornflower Blue,#8C9FFF,A vibrant yet calm shade of light cornflower blue.,"Tranquility, Serenity","Peaceful, Introspective","Calm, Refreshing, Dreamy","It may symbolize peace, harmony, and the sky or ocean.","Ideal for soothing interiors, digital design elements like websites and apps, or minimalist fashion accessories.","Light, Calm, Pastel, Cool, Sky Blue, Cornflower, Digital Design, Interior Design, Fashion Accessories, Peaceful, Serene","A vibrant yet calm shade of light cornflower blue. Tranquility, Serenity Peaceful, Introspective Calm, Refreshing, Dreamy It may symbolize peace, harmony, and the sky or ocean. Ideal for soothing interiors, digital design elements like websites and apps, or minimalist fashion accessories. Light, Calm, Pastel, Cool, Sky Blue, Cornflower, Digital Design, Interior Design, Fashion Accessories, Peaceful, Serene"
Indigo36CF (custom name),#3336FC,"A deep, rich shade of blue-purple.","Serene, Regal","Mysterious, Intellectual","Elegant, Dreamy","Represents wisdom, intuition, and spirituality. In some cultures, it symbolizes royalty.","Ideal for creating a sophisticated, modern aesthetic, especially in digital design or branding.","Deep, Rich, Blue-Purple, Sophisticated, Dreamy, Royal, Mysterious","A deep, rich shade of blue-purple. Serene, Regal Mysterious, Intellectual Elegant, Dreamy Represents wisdom, intuition, and spirituality. In some cultures, it symbolizes royalty. Ideal for creating a sophisticated, modern aesthetic, especially in digital design or branding. Deep, Rich, Blue-Purple, Sophisticated, Dreamy, Royal, Mysterious"
Maroon Red,#BD0F68,"A rich, deep shade of maroon with a hint of red.","Passionate, Dramatic","Bold, Strong, Dignified","Intense, Emotional, Energetic","It may symbolize power, strength, and sophistication.","Ideal for bold design elements, such as headlines or accents in a design.","Deep, Rich, Bold, Maroon, Red","A rich, deep shade of maroon with a hint of red. Passionate, Dramatic Bold, Strong, Dignified Intense, Emotional, Energetic It may symbolize power, strength, and sophistication. Ideal for bold design elements, such as headlines or accents in a design. Deep, Rich, Bold, Maroon, Red"
Seafoam Green,#5E7E70,"A light, cool, and slightly muted green shade.","Calm, Tranquil, Refreshing","Thoughtful, Introspective, Natural","Relaxing, Soothing, Serene","Growth, Renewal, Nature",Perfect for creating a calm and refreshing atmosphere in a room or space.,"Green, Light, Muted, Calm, Tranquil, Cool, Natural, Relaxing, Soothing, Serene, Refreshing, Growth, Renewal, Nature, Introspective.","A light, cool, and slightly muted green shade. Calm, Tranquil, Refreshing Thoughtful, Introspective, Natural Relaxing, Soothing, Serene Growth, Renewal, Nature Perfect for creating a calm and refreshing atmosphere in a room or space. Green, Light, Muted, Calm, Tranquil, Cool, Natural, Relaxing, Soothing, Serene, Refreshing, Growth, Renewal, Nature, Introspective."
Burnt Sienna,#AF945C,"A rich, warm brown with a hint of orange.","Warmth, Comfort","Reliable, Grounded","Cozy, Autumnal","Strength, Stability, Harvest",Ideal for creating a warm and inviting atmosphere in interiors or as a base color in autumn-themed designs.,"Warm, Earthy, Brown, Autumn, Harvest, Reliable, Grounded","A rich, warm brown with a hint of orange. Warmth, Comfort Reliable, Grounded Cozy, Autumnal Strength, Stability, Harvest Ideal for creating a warm and inviting atmosphere in interiors or as a base color in autumn-themed designs. Warm, Earthy, Brown, Autumn, Harvest, Reliable, Grounded"
Burnt Sienna,#B53D04,"A rich, warm and vibrant shade of brown.","Warmth, energy, intensity","Determined, confident, passionate","Inviting, robust, robustness","Strength, courage, endurance","Ideal for creating bold designs in branding, packaging, and web design.","Warm, Intense, Rich, Brown, Earthy, Vibrant","A rich, warm and vibrant shade of brown. Warmth, energy, intensity Determined, confident, passionate Inviting, robust, robustness Strength, courage, endurance Ideal for creating bold designs in branding, packaging, and web design. Warm, Intense, Rich, Brown, Earthy, Vibrant"
#4BEFDA (Turquoise Aqua),#4BEFDA,"A vibrant blend of turquoise and cyan, creating a captivating aquatic hue.","Excitement, Freshness, Serenity","Adventurous, Fearless, Vibrant","Lively, Refreshing, Invigorating","Represents the depths of the sea, freedom, and tranquility. It may also symbolize technological advancements due to its association with the digital world.","Ideal for designs related to technology, web design, branding for summer events or activities, or projects aimed at evoking a sense of adventure or exploration.","Vibrant, Fresh, Exciting, Tech, Aquatic, Adventure","A vibrant blend of turquoise and cyan, creating a captivating aquatic hue. Excitement, Freshness, Serenity Adventurous, Fearless, Vibrant Lively, Refreshing, Invigorating Represents the depths of the sea, freedom, and tranquility. It may also symbolize technological advancements due to its association with the digital world. Ideal for designs related to technology, web design, branding for summer events or activities, or projects aimed at evoking a sense of adventure or exploration. Vibrant, Fresh, Exciting, Tech, Aquatic, Adventure"
Sienna Brown,#A12308,"A rich, earthy brown with a hint of red.","Warmth, Energy","Sturdy, Resilient","Grounded, Inviting","Strength, Harvest, Autumn","Ideal for creating warm, inviting interiors, autumn-themed designs, or branding for earthy, organic products.","Brown, Reddish, Earthy, Warm, Rich, Autumn, Harvest, Strength, Resilient, Grounded, Inviting","A rich, earthy brown with a hint of red. Warmth, Energy Sturdy, Resilient Grounded, Inviting Strength, Harvest, Autumn Ideal for creating warm, inviting interiors, autumn-themed designs, or branding for earthy, organic products. Brown, Reddish, Earthy, Warm, Rich, Autumn, Harvest, Strength, Resilient, Grounded, Inviting"
Dark Forest Green,#6E770F,"A rich, dark forest green with undertones of brown.","Serene, grounded","Mysterious, resilient, strong","Calm, earthy, organic","Growth, stability, nature, wisdom","Ideal for backgrounds, natural elements in design, logo design for eco-friendly or natural products.","Earthy, Rich, Deep, Forest Green, Brownish Undertones, Natural, Organic, Calm, Peaceful, Serene, Grounded, Resilient, Strong, Stability, Growth, Nature, Wisdom, Eco-Friendly.","A rich, dark forest green with undertones of brown. Serene, grounded Mysterious, resilient, strong Calm, earthy, organic Growth, stability, nature, wisdom Ideal for backgrounds, natural elements in design, logo design for eco-friendly or natural products. Earthy, Rich, Deep, Forest Green, Brownish Undertones, Natural, Organic, Calm, Peaceful, Serene, Grounded, Resilient, Strong, Stability, Growth, Nature, Wisdom, Eco-Friendly."
Plum Purple,#DA68AC,"A vibrant, rich shade of purple with red undertones.",Passionate,"Mysterious and intriguing, full of depth and character.","Dramatic, intense, and captivating.","It may symbolize creativity, luxury, spirituality, or royalty.","Ideal for accent walls, artworks, fashion accessories, and branding that aims to convey an air of luxury or mystery.","Deep, Vibrant, Rich, Purple, Red, Intense, Luxury, Spirituality, Royalty.","A vibrant, rich shade of purple with red undertones. Passionate Mysterious and intriguing, full of depth and character. Dramatic, intense, and captivating. It may symbolize creativity, luxury, spirituality, or royalty. Ideal for accent walls, artworks, fashion accessories, and branding that aims to convey an air of luxury or mystery. Deep, Vibrant, Rich, Purple, Red, Intense, Luxury, Spirituality, Royalty."
Sage Green,#79E3AE,"A refreshing, vibrant shade of green.",Tranquility,"Peaceful and serene, like a calming breeze through the forest.","Calm, harmonious, and natural.","Wisdom, growth, and renewal. In many cultures, it represents balance and harmony with nature.","Ideal for creating soothing environments such as spas, waiting rooms, or offices that prioritize relaxation and focus.","Pastel, Nature, Serene, Calm, Tranquil, Renewal, Balance.","A refreshing, vibrant shade of green. Tranquility Peaceful and serene, like a calming breeze through the forest. Calm, harmonious, and natural. Wisdom, growth, and renewal. In many cultures, it represents balance and harmony with nature. Ideal for creating soothing environments such as spas, waiting rooms, or offices that prioritize relaxation and focus. Pastel, Nature, Serene, Calm, Tranquil, Renewal, Balance."
Firebrick,#E22646,"A deep, rich shade of red with a hint of orange.","Passionate, Dynamic","Bold, Assertive","Vibrant, Intense","Firebrick can symbolize energy, strength, and courage. It's often associated with the power of passion and the will to take action.","Ideal for adding a powerful, attention-grabbing element in designs, such as headlines, call-to-action buttons, or brand logos.","Passionate, Powerful, Vibrant, Energy, Strength","A deep, rich shade of red with a hint of orange. Passionate, Dynamic Bold, Assertive Vibrant, Intense Firebrick can symbolize energy, strength, and courage. It's often associated with the power of passion and the will to take action. Ideal for adding a powerful, attention-grabbing element in designs, such as headlines, call-to-action buttons, or brand logos. Passionate, Powerful, Vibrant, Energy, Strength"
Indigo (Dark),#3848E8,"A deep, rich shade of blue.","Mysterious, Majestic","Mysterious, Powerful","Elegant, Dreamy","Represents wisdom, spirituality, and creativity.","Ideal for branding related to technology, luxury, and innovation.","Dark, Deep, Majestic, Technology, Luxury, Innovation, Spirituality, Wisdom, Creative.","A deep, rich shade of blue. Mysterious, Majestic Mysterious, Powerful Elegant, Dreamy Represents wisdom, spirituality, and creativity. Ideal for branding related to technology, luxury, and innovation. Dark, Deep, Majestic, Technology, Luxury, Innovation, Spirituality, Wisdom, Creative."
Burnt Sienna,#AE4915,"A rich, deep earthy red with a hint of brown.","Warmth, Coziness, Comfort","Tenacious, Resilient, Grounded","Rustic, Warm, Inviting","Strength, Courage, Stability","Ideal for creating a warm and inviting ambiance in home decor, outdoor spaces, and branding for rustic or natural products.","Earthy, Rich, Warm, Brownish-Red, Rustic, Natural, Stable, Strength, Courage","A rich, deep earthy red with a hint of brown. Warmth, Coziness, Comfort Tenacious, Resilient, Grounded Rustic, Warm, Inviting Strength, Courage, Stability Ideal for creating a warm and inviting ambiance in home decor, outdoor spaces, and branding for rustic or natural products. Earthy, Rich, Warm, Brownish-Red, Rustic, Natural, Stable, Strength, Courage"
Amethyst Mauve,#BA339D,"A rich, dark purple with a hint of red.","Mysterious, Luxurious","Introspective, Elegant","Calm, Deep","Spirituality, Creativity, Wisdom, Royalty","Ideal for luxurious branding, high-end products, and creative design.","Purple, Amethyst, Mauve, Dark, Rich, Elegant, Introspective, Creative, Luxurious, Spirituality, Calm, Deep, Mysterious, Royalty.","A rich, dark purple with a hint of red. Mysterious, Luxurious Introspective, Elegant Calm, Deep Spirituality, Creativity, Wisdom, Royalty Ideal for luxurious branding, high-end products, and creative design. Purple, Amethyst, Mauve, Dark, Rich, Elegant, Introspective, Creative, Luxurious, Spirituality, Calm, Deep, Mysterious, Royalty."
Indigo (Dark),#030DBD,"A deep, dark shade of indigo that evokes a sense of elegance and sophistication.","Mysterious, Intense","Introspective, Deep thinker","Serene, Reflective","Represents knowledge, spirituality, and intuition in many cultures.","Ideal for corporate branding, high-end fashion, or any design that aims to convey depth and mystery.","Deep, Intense, Mysterious, Sophisticated, Spiritual, Knowledgeable.","A deep, dark shade of indigo that evokes a sense of elegance and sophistication. Mysterious, Intense Introspective, Deep thinker Serene, Reflective Represents knowledge, spirituality, and intuition in many cultures. Ideal for corporate branding, high-end fashion, or any design that aims to convey depth and mystery. Deep, Intense, Mysterious, Sophisticated, Spiritual, Knowledgeable."
Sage Green,#4C7E3D,"A muted, rich shade of green with a hint of yellow.","Calm, Peaceful, Fresh","Reliable, Balanced, Comfortable",Serene and Refreshing,"Growth, Nature, Harmony","Ideal for creating a calming atmosphere in interior design, branding for eco-friendly or nature-based companies.","Muted Green, Fresh, Nature, Calm, Peaceful, Comfortable, Reliable, Serene, Refreshing, Growth, Harmony, Eco-Friendly, Interior Design, Branding.","A muted, rich shade of green with a hint of yellow. Calm, Peaceful, Fresh Reliable, Balanced, Comfortable Serene and Refreshing Growth, Nature, Harmony Ideal for creating a calming atmosphere in interior design, branding for eco-friendly or nature-based companies. Muted Green, Fresh, Nature, Calm, Peaceful, Comfortable, Reliable, Serene, Refreshing, Growth, Harmony, Eco-Friendly, Interior Design, Branding."
Dandelion,#D35038,"A vibrant and warm, fiery orange-red hue.","Passionate, Energetic, Warm","Bold, Vibrant, Adventurous","Exciting, Invigorating, Radiant","In many cultures, this color represents fire, passion, and creativity.","Ideal for grabbing attention, highlighting important elements, or expressing energy in design.","Warm, Fiery, Vibrant, Bold, Energy, Passion, Fire, Creativity, Attention-grabbing, Design, Branding","A vibrant and warm, fiery orange-red hue. Passionate, Energetic, Warm Bold, Vibrant, Adventurous Exciting, Invigorating, Radiant In many cultures, this color represents fire, passion, and creativity. Ideal for grabbing attention, highlighting important elements, or expressing energy in design. Warm, Fiery, Vibrant, Bold, Energy, Passion, Fire, Creativity, Attention-grabbing, Design, Branding"
Lime Green,#38FF28,"A rich and intense shade of green, often associated with nature.","Energy, Excitement","Spirited, Bold, Enthusiastic","Vital, Lively","Growth, Abundance, Renewal, Success","Ideal for catchy designs, branding, and promotional materials.","Green, Bright, Intense, Vibrant, Energy, Fresh, Exciting, Nature, Spring, Summer.","A rich and intense shade of green, often associated with nature. Energy, Excitement Spirited, Bold, Enthusiastic Vital, Lively Growth, Abundance, Renewal, Success Ideal for catchy designs, branding, and promotional materials. Green, Bright, Intense, Vibrant, Energy, Fresh, Exciting, Nature, Spring, Summer."
Flame Orange,#F87F08,A vibrant and intense shade of orange.,"Energy, Excitement","Passionate, Bold","Spirited, Energetic","Fire, Heat, Sun","Ideal for creating attention-grabbing designs in advertising, branding, and graphic design.","Vibrant, Intense, Warm, Energy, Passion, Attention-Grabbing.","A vibrant and intense shade of orange. Energy, Excitement Passionate, Bold Spirited, Energetic Fire, Heat, Sun Ideal for creating attention-grabbing designs in advertising, branding, and graphic design. Vibrant, Intense, Warm, Energy, Passion, Attention-Grabbing."
Goldenrod,#EEC97E,A warm and lively shade of yellow-orange.,"Warmth, comfort, friendliness","Approachable, cheerful, nostalgic","Sunny, inviting, cozy","Harvest, autumn, sunshine",Ideal for creating a warm and welcoming atmosphere in interior design or as a background color for graphics with a friendly vibe.,"Warm, cheerful, autumn, harvest, sunny","A warm and lively shade of yellow-orange. Warmth, comfort, friendliness Approachable, cheerful, nostalgic Sunny, inviting, cozy Harvest, autumn, sunshine Ideal for creating a warm and welcoming atmosphere in interior design or as a background color for graphics with a friendly vibe. Warm, cheerful, autumn, harvest, sunny"
Sage Green,#83F69F,A refreshing blend of yellow and blue.,"Tranquility, Renewal","Calm, Wisdom, Natural","Relaxing, Serene, Peaceful","Growth, Harmony, Stability","Ideal for creating a serene and calm environment, such as in homes, spas, or natural-themed designs.","Pastel, Green, Nature, Calming, Fresh, Soothing","A refreshing blend of yellow and blue. Tranquility, Renewal Calm, Wisdom, Natural Relaxing, Serene, Peaceful Growth, Harmony, Stability Ideal for creating a serene and calm environment, such as in homes, spas, or natural-themed designs. Pastel, Green, Nature, Calming, Fresh, Soothing"
Sapphire Blue-Green,#73DDD2,A vibrant blend of blue and green.,"Calmness, tranquility, freshness.","Serene, intuitive, intelligent.","Refreshing, soothing, invigorating.","Represents clarity, wisdom, and creativity.","Ideal for websites that want to convey a modern, professional, yet approachable feel.","Modern, Professional, Cool, Fresh, Tranquil, Clear.","A vibrant blend of blue and green. Calmness, tranquility, freshness. Serene, intuitive, intelligent. Refreshing, soothing, invigorating. Represents clarity, wisdom, and creativity. Ideal for websites that want to convey a modern, professional, yet approachable feel. Modern, Professional, Cool, Fresh, Tranquil, Clear."
Sage Green,#0E6436,"A rich, deep shade of green.","Calm, Comfortable","Reliable, Natural","Earthy, Organic","Growth, harmony, and stability in nature.","Ideal for natural or organic design themes, such as plants, forest, or eco-friendly brands.","Green, Deep, Rich, Natural, Organic, Earthy, Calm, Stable, Reliable.","A rich, deep shade of green. Calm, Comfortable Reliable, Natural Earthy, Organic Growth, harmony, and stability in nature. Ideal for natural or organic design themes, such as plants, forest, or eco-friendly brands. Green, Deep, Rich, Natural, Organic, Earthy, Calm, Stable, Reliable."
Sage Green,#436835,"A deep, rich, and earthy shade of green.","Calmness, Groundedness, Serenity","Reliable, Trustworthy, Nature-loving","Earthy, Stable, Comforting","Growth, Balance, Harmony with nature",Ideal for creating a natural and calming environment in homes or offices.,"Earthy, Natural, Calm, Grounded, Trustworthy, Reliable","A deep, rich, and earthy shade of green. Calmness, Groundedness, Serenity Reliable, Trustworthy, Nature-loving Earthy, Stable, Comforting Growth, Balance, Harmony with nature Ideal for creating a natural and calming environment in homes or offices. Earthy, Natural, Calm, Grounded, Trustworthy, Reliable"
Dandelion,#D1A272,A warm and rich earthy orange-brown.,"Warmth, Comfort, Nostalgia","Friendly, Reliable, Down-to-earth","Cozy, Rustic, Inviting","Grounding, Rootedness, Harvest Season","Interior design elements, fashion accessories, autumn-themed graphics.","Warm, Earthy, Autumn, Rust, Fall, Cozy.","A warm and rich earthy orange-brown. Warmth, Comfort, Nostalgia Friendly, Reliable, Down-to-earth Cozy, Rustic, Inviting Grounding, Rootedness, Harvest Season Interior design elements, fashion accessories, autumn-themed graphics. Warm, Earthy, Autumn, Rust, Fall, Cozy."
